id,student_id,course_id
0,1171,169
1,3433,181
2,7923,68
3,2698,129
4,5757,51
5,7195,17
6,6077,20
7,7978,87
8,5390,49
9,2403,40
10,7630,4
11,6066,111
12,9282,56
13,4199,34
14,8920,13
15,4018,37
16,3436,184
17,444,1
18,2375,7
19,3465,110
20,9581,194
21,3049,77
22,1781,51
23,1462,66
24,1808,28
25,2845,137
26,6366,145
27,1400,119
28,6032,104
29,2292,7
30,8628,99
31,1972,186
32,9461,105
33,952,40
34,7267,141
35,6090,57
36,8942,19
37,5872,152
38,8991,172
39,1003,99
40,7826,72
41,5570,93
42,4021,145
43,2033,49
44,5474,140
45,6605,120
46,7009,146
47,8798,75
48,3437,57
49,6259,55
50,4404,179
51,6272,74
52,1276,40
53,2021,47
54,6708,4
55,8771,88
56,4180,118
57,8865,43
58,1965,133
59,1235,76
60,6377,165
61,8741,86
62,7599,135
63,9908,149
64,5185,156
65,2885,17
66,3717,132
67,2597,48
68,1776,75
69,5550,98
70,8344,59
71,2821,34
72,300,180
73,9707,45
74,7455,14
75,5432,84
76,9686,101
77,5763,144
78,4341,43
79,9337,109
80,8897,12
81,4744,139
82,9100,31
83,4295,131
84,9796,129
85,1896,25
86,5558,9
87,357,132
88,8684,112
89,811,152
90,3581,46
91,5535,121
92,6025,6
93,9577,41
94,967,83
95,9049,121
96,585,74
97,1027,18
98,6373,94
99,8569,171
100,9325,35
101,9824,7
102,7259,110
103,2427,45
104,7476,112
105,210,98
106,9637,124
107,7736,9
108,955,52
109,6623,82
110,8675,156
111,3380,112
112,3851,136
113,97,158
114,533,163
115,4137,56
116,3680,94
117,1684,138
118,7654,56
119,1448,150
120,2932,121
121,7624,157
122,5229,86
123,217,46
124,2624,110
125,1375,191
126,6625,104
127,1949,45
128,2475,189
129,8286,65
130,2251,192
131,3244,152
132,4075,108
133,254,128
134,5311,27
135,1863,182
136,9256,19
137,4999,83
138,2870,136
139,9918,158
140,3379,161
141,9346,105
142,3474,120
143,5532,185
144,3867,19
145,7925,156
146,8186,21
147,3999,51
148,1499,20
149,1927,126
150,9339,58
151,64,46
152,4268,61
153,9665,103
154,7553,76
155,5742,39
156,5605,116
157,2203,186
158,8354,102
159,5004,121
160,5856,125
161,9903,175
162,6293,46
163,6014,6
164,1934,183
165,5956,95
166,5428,38
167,4219,181
168,4025,101
169,6591,173
170,9639,37
171,3763,172
172,156,22
173,3828,154
174,1853,79
175,8021,119
176,5882,84
177,8425,155
178,6095,54
179,4450,145
180,3595,3
181,6877,49
182,906,106
183,2553,93
184,2800,59
185,413,132
186,7941,9
187,4602,190
188,2387,82
189,2238,76
190,9501,27
191,7306,66
192,9937,138
193,7404,158
194,76,130
195,9732,160
196,1840,107
197,5675,134
198,8542,5
199,8889,80
200,4696,104
201,8372,93
202,465,24
203,1608,102
204,8745,170
205,3888,177
206,5155,12
207,6356,66
208,9590,46
209,4427,176
210,3389,60
211,8076,101
212,49,102
213,6602,16
214,8145,105
215,753,53
216,5453,109
217,96,141
218,4492,55
219,6204,152
220,100,102
221,6011,26
222,8271,113
223,9881,23
224,2536,181
225,1920,116
226,6010,83
227,5200,199
228,2218,105
229,6885,94
230,122,3
231,2904,154
232,9812,88
233,7334,8
234,2553,192
235,8868,141
236,3762,38
237,8540,113
238,8483,153
239,1407,48
240,113,130
241,8843,41
242,2707,151
243,4600,195
244,5667,165
245,8374,4
246,2603,85
247,4563,93
248,8787,105
249,502,54
250,9635,114
251,8106,143
252,7608,145
253,4031,185
254,7901,199
255,1766,134
256,1717,109
257,2410,174
258,9088,63
259,7670,115
260,1853,165
261,3194,123
262,2376,44
263,1934,167
264,7241,176
265,3783,179
266,5234,167
267,6462,6
268,3685,113
269,6759,91
270,2580,105
271,6049,189
272,7428,26
273,8887,89
274,9536,32
275,6515,180
276,9050,101
277,609,156
278,1185,12
279,5647,114
280,4281,120
281,3928,114
282,7522,127
283,482,23
284,2053,186
285,5223,31
286,326,144
287,1004,9
288,4556,144
289,4326,65
290,1436,191
291,8448,71
292,2817,23
293,6498,165
294,6755,45
295,9812,61
296,5264,187
297,140,127
298,9588,94
299,7207,53
300,5143,123
301,9791,155
302,8930,77
303,9558,132
304,4877,67
305,9370,199
306,5721,30
307,4897,154
308,9457,146
309,2097,14
310,1779,8
311,1932,39
312,9057,61
313,1158,86
314,2062,163
315,2477,136
316,1828,50
317,2929,33
318,4823,112
319,6396,56
320,7814,112
321,8528,13
322,7710,59
323,2742,50
324,9546,97
325,1154,112
326,6879,177
327,7221,121
328,4977,160
329,2972,27
330,3276,32
331,5819,93
332,9148,170
333,9638,108
334,32,145
335,6440,99
336,6945,31
337,3242,63
338,2242,119
339,9721,14
340,3256,142
341,2978,4
342,2742,109
343,8145,132
344,5520,184
345,5661,49
346,4636,176
347,8012,65
348,2069,78
349,3207,118
350,3717,42
351,6409,9
352,602,182
353,5358,2
354,7274,48
355,1018,148
356,9339,197
357,371,71
358,9112,107
359,5721,114
360,133,177
361,1081,27
362,3348,43
363,1604,68
364,3689,117
365,1648,197
366,4405,138
367,4410,170
368,7161,7
369,5286,68
370,41,5
371,9507,26
372,9940,145
373,8480,181
374,7568,87
375,3415,45
376,6129,65
377,1410,3
378,2044,148
379,967,177
380,3363,19
381,7367,111
382,2734,197
383,845,53
384,6642,44
385,212,44
386,1968,182
387,9294,93
388,7622,117
389,8156,45
390,1011,47
391,3269,150
392,4638,48
393,9543,124
394,4672,0
395,7653,194
396,4471,93
397,7378,135
398,2124,111
399,3174,0
400,1867,198
401,4365,107
402,1163,7
403,3616,12
404,3237,99
405,1477,35
406,3250,70
407,452,160
408,8116,102
409,9320,158
410,1608,107
411,637,50
412,598,129
413,7240,153
414,156,179
415,4028,63
416,3230,173
417,4002,43
418,8886,68
419,7725,137
420,873,31
421,934,61
422,9361,123
423,963,81
424,569,142
425,9471,159
426,1533,36
427,4502,81
428,234,76
429,8837,193
430,5702,40
431,2079,169
432,9638,52
433,277,158
434,4484,177
435,8258,198
436,669,58
437,2907,109
438,5005,49
439,235,196
440,6141,55
441,4585,132
442,7624,155
443,8114,78
444,6690,34
445,2316,155
446,3583,96
447,7477,8
448,277,98
449,384,144
450,3600,174
451,4569,50
452,6516,146
453,8945,87
454,2240,195
455,116,22
456,9650,163
457,9412,34
458,3688,143
459,2284,25
460,8586,14
461,3600,130
462,780,11
463,3591,81
464,8809,116
465,1248,78
466,9115,108
467,4369,105
468,5688,21
469,9002,132
470,3952,72
471,2206,86
472,2071,71
473,7447,65
474,3912,44
475,5192,134
476,5185,7
477,2100,129
478,239,4
479,9201,137
480,5190,108
481,303,199
482,2758,29
483,4706,72
484,9501,157
485,5991,194
486,2638,141
487,4,49
488,9620,131
489,3528,29
490,7303,63
491,7356,4
492,5013,197
493,5019,28
494,9737,6
495,9193,5
496,9094,187
497,1735,118
498,5221,7
499,6572,139
500,4504,164
501,5292,191
502,7291,157
503,9099,194
504,2422,64
505,6205,134
506,4278,140
507,7504,98
508,2215,151
509,3298,103
510,10,102
511,3802,35
512,7656,15
513,1328,171
514,7588,7
515,4058,139
516,4360,183
517,713,83
518,8781,111
519,3905,124
